,theolscale,goodevil,endtimes2,cabal,paranormscale,ednumeric,female,black,hispanic,libdum,consdum,demdum,gopdum,polintnum,psc,trustind1,inteff,exteffic,RWA,imprelnum
118,3,4,2.5,3,4.5,3,1,0,0,0,1,1,0,2,-1.55377295,2,3,2.5,0,3
119,2,3,2,3,3,4,1,0,0,0,0,0,0,NA,-1.861656019,1,3,3,0.5,4
120,1,1,1,3,2,5,1,0,0,1,0,1,0,4,1.091198807,2,4,2,0,1
121,3,5,2,5,2.5,3,1,0,0,0,1,0,1,4,0.678291795,1,3.5,2.5,0.5,3
122,3,2,3,3,1,5,1,0,0,0,1,0,1,4,-0.292626685,1,3.5,2,1,4
123,3,3,1.5,2,2,5,0,0,0,0,1,0,1,4,1.040470149,1,4.5,2,0,4
124,3,4,2.5,2,4,5,0,0,0,0,1,0,1,4,0.863286739,2,5,2.5,0.5,4
125,3,1,1,1,3.5,3,0,0,0,0,0,1,0,4,0.515744156,1,2.5,2.5,0.5,2
126,1,4,1,5,2,3,0,0,0,0,1,0,1,4,0.959251824,1,5,1,0.5,1
127,3,3,2.5,3,4,5,0,0,0,0,1,0,1,4,1.040470149,1,4,2,1,4
128,1,2,1,2,1.5,6,0,0,0,1,0,1,0,4,1.009980482,2,4,4,0.5,1
129,3,4,2.5,4,4,6,0,0,0,0,1,0,1,4,0.566472814,1,3.5,2,0.5,4
130,1,2,1,4,1.5,5,0,0,0,0,1,1,0,4,1.040470149,1,4.5,2.5,0.5,1
131,3,5,3,4,1,4,0,0,0,0,1,0,1,4,0.515744156,1,4,3,1,4
132,3,3,3,3,4,3,0,0,0,0,1,0,0,2,-0.786752021,2,1.5,2,1,4
133,3,4,1,5,1.5,2,0,0,0,0,0,1,0,4,0.678291795,1,2,2,1,4
134,3,4,1.5,4,1.5,2,1,0,0,0,1,0,1,4,0.515744156,1,3.5,2.5,0,2
135,2.5,2,1.5,4,3,5,0,0,0,0,1,0,0,4,0.651368755,2,4,2,0,1
136,2,4,1,3,3,5,0,0,0,0,0,0,1,4,0.434525831,2,4,3.5,0,2
137,1,3,1,1,1,4,0,0,0,0,1,0,0,4,1.091198807,2,4.5,1,0.5,1
138,2.5,2,2,4,2.5,3,0,0,0,0,1,0,1,4,1.040470149,1,4,2.5,1,3
139,2,4,3,4,1,5,0,0,0,0,0,1,0,4,0.161950127,2,4,1,1,4
140,1,3,1,2,2.5,3,0,0,0,0,1,0,1,4,-0.05563377,1,3,3,1,2
141,3,3,2.5,3,3,4,1,0,0,0,1,1,0,2,-1.861656019,2,3,2.5,1,4
142,3,4,1,5,3,5,1,0,0,1,0,1,0,4,1.040470149,1,5,1.5,0.5,4
143,1.5,4,2,4,1.5,2,1,0,0,1,0,1,0,4,0.141788632,1,3,1.5,1,3
